"code","latitude","longitude"
"ABS","41.7527","42.8196"
"ADZ","43.05","41.7"
"AGRL","41.7344","44.7034"
"AKH","41.41","43.4929"
"AKH","41.41","43.4929"
"AKHA","41.41","43.4929"
"AKHN","41.4283","43.512"
"AKHT","41.41","43.4929"
"AKNA","41.4283","43.512"
"ALIA","42.1047","43.649"
"ALIG","42.1047","43.649"
"AMRG","42.5155","43.1368"
"AMRG","42.5155","43.1368"
"ATEN","41.893","44.0912"
"ATSN","42.0578","42.0796"
"AZMN","41.3172","43.2861"
"AZNN","41.3468","43.2103"
"AZNN","41.3468","43.2103"
"BATM","41.604","41.6936"
"BATM","41.604","41.6936"
"BCHG","43.0332","42.5783"
"BED","42.766","41.7166"
"BGD","41.2645","43.5986"
"BGD","41.2645","43.5986"
"BGLV","42.174","43.1828"
"BGNR","42.0618","42.7371"
"BKR","41.7337","43.5032"
"BKRG","41.7596","43.5223"
"BOK","42.5198","43.3933"
"BRJ","41.8333","43.3833"
"BRNG","41.6231","43.8276"
"BROG","42.45","44.93"
"BTNK","41.6832","44.7988"
"BTNK","41.6832","44.7988"
"BTNK","41.6832","44.7988"
"CAB1","41.7026","44.7906"
"CAB2","41.7029","44.7905"
"CHA","42.4697","43.131"
"CHAG","42.7278","42.0263"
"CHB","43.0616","42.1768"
"CHBG","43.0129","42.085"
"CHBG","43.0129","42.085"
"CHKV","42.7293","42.0821"
"CHRG","42.3293","44.926"
"CHRK","41.5053","42.4323"
"CHRK","41.5053","42.4323"
"CHRN","42.3323","44.9274"
"CHRN","42.3323","44.9274"
"CHVG","42.7183","42.0841"
"CHVG","42.7183","42.0841"
"CHVG","42.7183","42.0841"
"CIX","42.7833","43.0166"
"CKV","42.561","42.9443"
"DALI","41.2393","45.8579"
"DALI","41.2393","45.8579"
"DDFL","41.4458","46.1183"
"DDFL","41.4458","46.1183"
"DDFN","41.4733","46.1444"
"DDFN","41.4733","46.1444"
"DGRG","41.4507","45.3728"
"DGRG","41.4507","45.3728"
"DGRG","41.4507","45.3728"
"DMNI","41.3291","44.1902"
"DSHG","42","44.718"
"DSHG","42","44.718"
"DUS","42.0901","44.7021"
"DVRK","42.7244","44.6015"
"DVRK","42.7244","44.6015"
"EMLK","41.2134","43.952"
"EMLK","41.2134","43.952"
"GANZ","41.3537","43.7416"
"GAR","42.6142","43.523"
"GARI","42.604","43.4688"
"GARI","42.604","43.4688"
"GEG","42.4188","42.3827"
"GHRA","41.7348","42.341"
"GHRG","41.7348","42.341"
"GHRG","41.7348","42.341"
"GOR","41.9855","44.1088"
"GRM","42.016","45.6774"
"GUDA","42.4646","44.4772"
"GUDG","42.4646","44.4772"
"GUDG","42.4646","44.4772"
"HML","42.3167","42.6333"
"HOT","42.47","43.1302"
"IES1","41.7305","44.74"
"JIMT","41.6961","45.7117"
"KEKH","42.308","43.94"
"KEKT","42.308","43.94"
"KHAR","42.0163","43.1412"
"KHAR","42.0163","43.1412"
"KHEL","41.5742","41.6963"
"KHMA","42.4053","41.817"
"KHMG","42.4053","41.817"
"KHRT","42.3517","43.2191"
"KHRT","42.3517","43.2191"
"KHS","42.9428","42.1893"
"KHS","42.9428","42.1893"
"KHVA","42.1902","43.5236"
"KHVM","42.5302","42.724"
"KHVM","42.5302","42.724"
"KMSG","41.621","44.7753"
"KRNT","41.4831","41.7166"
"KRYG","42.5826","42.2841"
"KTS","42.2332","42.6932"
"KZR","41.3814","44.4152"
"KZRT","41.3866","44.3987"
"LATL","43.0224","42.6073"
"LATL","43.0224","42.6073"
"LBR","42.7166","42.4833"
"LGD","41.8343","46.2422"
"LGD","41.8343","46.2422"
"LGDA","41.8356","46.2395"
"LGDN","41.8356","46.2395"
"LNTK","42.7625","42.9652"
"LNTK","42.7625","42.9652"
"LPNA","42.0574","45.6003"
"LPNG","42.0574","45.6003"
"LPNI","42.064","45.6001"
"MAMP","42.7046","43.7946"
"MATA","42.0927","45.1637"
"MATA","42.0927","45.1637"
"MINA","41.596","43.018"
"MINA","41.596","43.018"
"MTA","41.6939","44.7925"
"MTA","41.6939","44.7925"
"MTAG","42.0927","45.1637"
"MTAG","42.0927","45.1637"
"MTEO","42.6808","44.5346"
"MTEO","42.6808","44.5346"
"MTI","43.0417","42.7723"
"MUGA","42.2904","44.6421"
