2025-04-06T02:03:27.430000Z
Station, Max G
GO_LGDA_HNE, 0.00016068644973103271
GO_LGDA_HNN, 0.00019074161950863566
GO_LGDA_HNZ, 0.0001573453169906739
GO_S186_HNE, 0.002461360993699678
GO_S186_HNN, 0.0010272651480751236
GO_S186_HNZ, 0.001686990074785555
GO_ALIA_HNE, 0.00020851027682371743
GO_ALIA_HNN, 0.00017452496923390983
GO_ALIA_HNZ, 0.00013386269265584197
GO_LPNA_HNE, 5.8987205658239234e-05
GO_LPNA_HNN, 5.073487434250429e-05
GO_LPNA_HNZ, 6.711202962686072e-05
GO_KHMA_HNZ, 2.842576066925408e-06
GO_KHMA_HNE, 5.3338110736675885e-06
GO_KHMA_HNN, 4.230805661139105e-06
GO_EMLK_HNE, 0.00015352139920649655
GO_EMLK_HNN, 0.0001374513271454889
GO_EMLK_HNZ, 0.0001120692926897607
GO_MINA_HNE, 1.792611345971782e-05
GO_MINA_HNN, 1.1405604420449803e-05
GO_MINA_HNZ, 9.923812312519309e-06
GO_DDFN_HNE, 7.1153432171270726e-06
GO_DDFN_HNN, 5.933664825704022e-06
GO_DDFN_HNZ, 1.372125122268962e-05
GO_MUGA_HNE, 0.0002302789137042023
GO_MUGA_HNN, 0.0002666382448745622
GO_MUGA_HNZ, 0.00020359835633636773
GO_SEAG_HNE, 0.001061016638386937
GO_SEAG_HNN, 0.0009672024605733435
GO_SEAG_HNZ, 0.0010400230307387724
GO_AKHA_HNE, 0.00015383243475120508
GO_AKHA_HNN, 0.00012087955501956177
GO_AKHA_HNZ, 0.00012641269055046537
GO_MZEG_HNE, 0.00012486321365583859
GO_MZEG_HNN, 5.975081018021214e-05
GO_MZEG_HNZ, 5.4335664667908386e-05
GO_KHAR_HNE, 1.0773410543706076e-05
GO_KHAR_HNN, 1.0920283693176178e-05
GO_KHAR_HNZ, 9.064936686187437e-06
GO_AZNN_HNE, 4.484434919100294e-05
GO_AZNN_HNN, 3.380375412115266e-05
GO_AZNN_HNZ, 2.715811592476151e-05
GO_DALI_HNE, 2.442036874112211e-05
GO_DALI_HNN, 2.1413109751329342e-05
GO_DALI_HNZ, 2.8778147863319294e-05
GO_GARI_HNE, 1.4435556736001083e-05
GO_GARI_HNN, 1.3689886277054498e-05
GO_GARI_HNZ, 9.883528703162576e-06
GO_SHNK_HNE, 5.7797920433075836e-05
GO_SHNK_HNN, 7.524237473686973e-05
GO_SHNK_HNZ, 2.8539228568919287e-05
GO_VSHA_HNE, 1.7824215013990483e-05
GO_VSHA_HNN, 1.9199084136945942e-05
GO_VSHA_HNZ, 2.2943682283225228e-05
GO_S185_HNE, 5.6638313049943134e-05
GO_S185_HNN, 3.374924396004259e-05
GO_S185_HNZ, 7.424485354457698e-05
GO_GHRG_HNE, 3.67395483409375e-06
GO_GHRG_HNN, 2.8172747515643536e-06
GO_GHRG_HNZ, 2.472965512560884e-06
GO_CHRK_HNZ, 1.8269135722380824e-05
GO_CHRK_HNN, 2.3601293608136305e-05
GO_CHRK_HNE, 2.6985866646370265e-05
GO_BTNK_HNE, 0.020801670170594925
GO_BTNK_HNN, 0.02813797228326232
GO_BTNK_HNZ, 0.015608168738237387
GO_DGRG_HNE, 4.696905200693345e-05
GO_DGRG_HNN, 3.6784392834845286e-05
GO_DGRG_HNZ, 3.827145895970292e-05
GO_TBLG_HNE, 0.0022751340095226147
GO_TBLG_HNN, 0.0015545718483160266
GO_TBLG_HNZ, 0.0019183140289971542
GO_SHTB_HNE, 0.00013303900523572776
GO_SHTB_HNN, 0.00014741223802773322
GO_SHTB_HNZ, 0.00013835773069320535
GO_SC07_HNE, 4.1264360096479345e-05
GO_SC07_HNN, 5.065456593613174e-05
GO_SC07_HNZ, 4.981100773835969e-05
GO_CHRN_HNE, 7.935510639408185e-07
GO_CHRN_HNN, 9.350934868782369e-07
GO_CHRN_HNZ, 9.58470380857002e-07
GO_DSHG_HNE, 4.704314363122981e-05
GO_DSHG_HNN, 9.621098727073756e-05
GO_DSHG_HNZ, 6.36584964873032e-05
GO_TRLT_HNE, 0.000571720659662726
GO_TRLT_HNN, 0.0003244898037670787
GO_TRLT_HNZ, 0.0003141523531642257
GO_CHBG_HNZ, 1.711938846176949e-06
GO_CHBG_HNE, 1.9571018305999076e-06
GO_CHBG_HNN, 2.733343301243933e-06
